--------- beginning of main
07-15 00:56:18.820 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:56:34.413 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:56:51.544 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 9 lines
07-15 00:56:55.484 17906 17906 I chatty  : uid=10247(com.smartvision.svplayer) expire 2 lines
07-15 00:56:55.786 17906 17914 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 4 lines
07-15 00:56:56.326 17906 17957 I chatty  : uid=10247(com.smartvision.svplayer) RenderThread expire 1 line
07-15 00:57:07.908 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:57:31.516 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:57:55.048 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 7 lines
07-15 00:58:11.539 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204570(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 259us total 237.635ms
07-15 00:58:13.886 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204273(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 188us total 223.193ms
07-15 00:58:16.213 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203124(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 155us total 214.733ms
07-15 00:58:18.578 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203332(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 197us total 227.574ms
07-15 00:58:20.924 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204186(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 220.350ms
07-15 00:58:23.286 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204013(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 216us total 228.548ms
07-15 00:58:25.672 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205122(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 240us total 254.396ms
07-15 00:58:28.021 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205182(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 228.283ms
07-15 00:58:30.384 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203924(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 210us total 236.550ms
07-15 00:58:32.744 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205677(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 239us total 222.304ms
07-15 00:58:35.105 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204973(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 160us total 209.901ms
07-15 00:58:37.470 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203628(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 233.341ms
07-15 00:58:39.822 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206155(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 154us total 217.030ms
07-15 00:58:42.182 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202383(6MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 183us total 242.642ms
07-15 00:58:44.483 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202962(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 185us total 224.112ms
07-15 00:58:46.844 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204113(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 220us total 224.646ms
07-15 00:58:49.212 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205496(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 197us total 229.194ms
07-15 00:58:51.576 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205240(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 239us total 233.168ms
07-15 00:58:53.938 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204246(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 218us total 235.444ms
07-15 00:58:56.303 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205255(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 232us total 231.731ms
07-15 00:58:58.662 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204477(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 211us total 235.626ms
07-15 00:59:01.027 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205255(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 204us total 232.534ms
07-15 00:59:03.393 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205595(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 194us total 231.234ms
07-15 00:59:05.759 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204592(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 188us total 232.404ms
07-15 00:59:08.108 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204014(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 216us total 227.822ms
07-15 00:59:10.478 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205383(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 1.127ms total 238.272ms
07-15 00:59:12.834 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204761(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 240us total 227.032ms
07-15 00:59:15.148 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203261(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 175us total 211.388ms
07-15 00:59:17.498 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204156(6MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 156us total 212.735ms
07-15 00:59:19.876 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204223(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 221us total 247.454ms
07-15 00:59:22.247 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205042(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 224us total 250.248ms
07-15 00:59:24.595 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206013(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 212us total 222.455ms
07-15 00:59:26.960 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203860(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 251us total 235.222ms
07-15 00:59:29.302 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204572(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 243us total 220.532ms
07-15 00:59:31.655 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203159(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 197us total 229.104ms
07-15 00:59:33.999 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204848(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 646us total 219.103ms
07-15 00:59:36.380 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205424(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 168us total 249.921ms
07-15 00:59:38.717 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205352(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 192us total 218.966ms
07-15 00:59:41.034 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201886(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 182us total 211.163ms
07-15 00:59:43.380 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201177(5MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 241us total 227.174ms
07-15 00:59:45.706 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204371(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 234us total 223.775ms
07-15 00:59:48.067 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204421(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 246us total 226.667ms
07-15 00:59:50.418 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203543(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 222us total 222.178ms
07-15 00:59:52.777 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203201(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 246us total 230.717ms
07-15 00:59:55.111 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203933(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 179us total 213.993ms
07-15 00:59:57.462 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202805(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 223us total 224.004ms
07-15 00:59:59.818 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204672(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 315us total 233.918ms
