--------- beginning of main
07-15 00:58:18.578 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:58:42.182 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:59:05.759 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:59:29.302 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:59:52.777 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:00:16.250 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 3 lines
07-15 01:00:23.316 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204347(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 173us total 219.669ms
07-15 01:00:25.632 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201766(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 206us total 233.958ms
07-15 01:00:27.984 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204907(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 259us total 228.889ms
07-15 01:00:30.364 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202858(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 234.877ms
07-15 01:00:32.714 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207992(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 206us total 225.210ms
07-15 01:00:35.065 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202936(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 283us total 230.957ms
07-15 01:00:37.428 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205256(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 294us total 231.761ms
07-15 01:00:39.769 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203256(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 195us total 227.681ms
07-15 01:00:42.129 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204538(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 215us total 227.360ms
07-15 01:00:44.422 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201098(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 213us total 223.498ms
07-15 01:00:46.784 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203254(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 219us total 234.655ms
07-15 01:00:49.132 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205365(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 157us total 219.944ms
07-15 01:00:51.455 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202549(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 201us total 232.445ms
07-15 01:00:53.797 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203856(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 217us total 219.762ms
07-15 01:00:56.155 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204323(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 211us total 223.568ms
07-15 01:00:58.508 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205267(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 229us total 213.403ms
07-15 01:01:00.866 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203011(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 188us total 232.756ms
07-15 01:01:03.222 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205373(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 202us total 222.115ms
07-15 01:01:05.584 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204025(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 219us total 232.670ms
07-15 01:01:07.890 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201867(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 440us total 232.742ms
07-15 01:01:10.245 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205007(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 224.010ms
07-15 01:01:12.605 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204998(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 323us total 222.530ms
07-15 01:01:14.960 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203481(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 205us total 230.456ms
07-15 01:01:17.303 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202576(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 201us total 226.695ms
07-15 01:01:19.651 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205971(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 155us total 217.698ms
07-15 01:01:21.998 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202321(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 178us total 229.660ms
07-15 01:01:24.351 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203962(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 391us total 230.777ms
07-15 01:01:26.660 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202105(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 205us total 224.074ms
07-15 01:01:29.010 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204159(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 175us total 221.314ms
07-15 01:01:31.371 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204566(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 200us total 226.694ms
07-15 01:01:33.745 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204849(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 202us total 230.803ms
07-15 01:01:36.102 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206822(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 216us total 206.830ms
07-15 01:01:38.459 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203433(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 219us total 224.131ms
07-15 01:01:40.834 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204209(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 233us total 246.516ms
07-15 01:01:43.198 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206972(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 199us total 228.634ms
07-15 01:01:45.509 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202111(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 302us total 226.762ms
07-15 01:01:47.880 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204493(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 172us total 223.107ms
07-15 01:01:50.213 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203583(6MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 181us total 219.938ms
07-15 01:01:52.567 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203002(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 207us total 231.746ms
07-15 01:01:54.917 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204240(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 245us total 224.247ms
07-15 01:01:57.271 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205003(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 223.315ms
07-15 01:01:59.621 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203765(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 245us total 221.643ms
