--------- beginning of main
07-15 00:28:51.297 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:29:07.212 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:29:23.067 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:29:40.468 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:29:56.385 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:30:12.309 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:30:28.265 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:30:44.070 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:30:59.975 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:31:15.886 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:31:31.764 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:31:47.629 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:32:03.451 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 7 lines
07-15 00:32:14.553 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198001(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 163us total 214.500ms
07-15 00:32:16.150 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201783(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 146us total 211.918ms
07-15 00:32:17.743 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202056(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 152us total 204.761ms
07-15 00:32:19.310 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198505(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 178us total 203.526ms
07-15 00:32:20.903 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199974(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 156us total 206.169ms
07-15 00:32:22.488 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199461(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 232us total 217.394ms
07-15 00:32:24.079 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200532(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 184us total 215.049ms
07-15 00:32:25.674 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201422(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 142us total 215.981ms
07-15 00:32:27.271 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202450(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 210us total 213.267ms
07-15 00:32:28.869 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201849(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 520us total 212.896ms
07-15 00:32:30.466 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201761(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 151us total 212.199ms
07-15 00:32:32.069 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201882(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 151us total 214.868ms
07-15 00:32:33.640 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199233(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 251us total 218.706ms
07-15 00:32:35.227 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199952(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 283us total 214.671ms
07-15 00:32:36.824 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203355(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 186us total 206.951ms
07-15 00:32:38.469 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200831(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 159us total 257.133ms
07-15 00:32:40.045 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203210(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 178us total 218.440ms
07-15 00:32:41.633 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200494(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 199us total 212.470ms
07-15 00:32:43.245 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202357(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 166us total 223.769ms
07-15 00:32:44.837 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201991(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 158us total 217.684ms
07-15 00:32:46.407 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201016(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 288us total 211.672ms
07-15 00:32:47.992 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198430(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 147us total 212.315ms
07-15 00:32:49.566 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200606(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 170us total 211.064ms
07-15 00:32:51.155 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198898(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 178us total 212.075ms
07-15 00:32:52.729 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199942(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 206us total 211.982ms
07-15 00:32:54.329 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200015(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 232us total 219.708ms
07-15 00:32:55.888 17906 17920 I vision.svplaye: Background concurrent copying GC freed 196816(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 218us total 222.770ms
07-15 00:32:57.483 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202303(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 197us total 218.410ms
07-15 00:32:59.073 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200888(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 149us total 215.299ms
07-15 00:33:00.673 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202371(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 182us total 213.637ms
